target1	target2
MGC88387	NCF2
MLL3	NS4ATP2
MLSTD1	TPK1
MYEOV2	ZNFN1A3
NCOA5	RBM4B
NCOA5	SUGT1
NSD1	SMCP
NSD1	WDR78
OR2L3	PIK3R5
OR2T1	SF3B1
OR56B1	WDR78
OR7A17	P2RY6
P8	UBL7
PAK2	PHF16
PCDHAC2	PRPF38B
PGM5	RGS10
PIK3R5	SH3RF2
POLA2	SYNC1
PPAP2B	TOR1AIP2
PPAP2C	ZNF155
PRPF38B	SORD
PRPF38B	TOR1AIP2
PRPF38B	ZNF630
PRSS8	ZNF630
PTGFR	S100A14
PTGFR	TNRC6B
RAD51L1	SH3RF2
RAD51L1	TMEM16G
RAD51L1	TNKS2
RBM4B	SUGT1
RGS10	SF3B1
RICS	VPS26B
S100A5	ZNF586
SETD6	SLC16A4
SH3RF2	SLC24A4
SH3RF2	TMEM16G
SH3RF2	TPTE2
SLC16A4	SMCP
SLC16A4	TNFRSF19L
SLC17A1	TNRC6B
SLC26A1	SLC26A9
SLC26A1	TIGD3
SLC26A9	TIGD3
SMCP	WDR78
SORD	TOR1AIP2
SORD	TRIM35
SORD	TSEN54
SORD	ZNF586
SORD	ZNF630
TMEM16G	TPTE2
TNFRSF19L	TNKS2
TNKS2	ZAN
TOR1AIP2	ZNF586
TRIM35	TSEN54
TRIM35	ZNF630
TRIM48	TRIM51
TSEN54	ZNF586
TSEN54	ZNF630
ZNF586	ZNF630
