target1	target2
LGR6	SH3RF2
LGR6	TRIM35
LGR6	ZNF586
LOC650040	MGC45840
LOC650040	TNFRSF19L
LOC653950	MGC45840
LOC653950	MUSTN1
LOC653950	MYST4
LOC653950	NEK10
LOC653950	PADI2
LOC653950	PGM5
LOC653950	SH3RF2
LOC653950	TNFRSF19L
LOC728137	TNK2
LRTM2	RAD51L1
MAGEB2	NRXN3
MAGEB2	SLC24A4
MGC45840	MUSTN1
MGC45840	MYST4
MGC45840	NEK10
MGC45840	PADI2
MGC45840	PGM5
MGC45840	TNFRSF19L
MLL2	PDE9A
MLL2	SLC17A1
MLL3	PAK2
MUSTN1	MYST4
MUSTN1	N6AMT1
MUSTN1	NEK10
MUSTN1	PADI2
MUSTN1	PGM5
MUSTN1	PPAP2C
MUSTN1	TIGD3
MUSTN1	TNFRSF19L
MYST4	NEK10
MYST4	PADI2
MYST4	PGM5
MYST4	TNFRSF19L
N6AMT1	PGM5
N6AMT1	POLR3B
NEK10	OR2T1
NEK10	PADI2
NEK10	PGM5
NEK10	TIGD3
NEK10	TNFRSF19L
NEK10	ZNF155
NLRP3	OR7A17
NLRP3	SLC26A1
NRXN3	SLC24A4
NSD1	ZNF630
OR11H12	WDR78
OR2L3	RPGR
OR2T1	PADI2
OR2T1	SGCD
OR2T1	TNFRSF19L
OR56B1	S100A5
P8	SLC5A3
P8	TMEM16G
PADI2	PGM5
PADI2	TIGD3
PADI2	TNFRSF19L
PDE9A	SLC17A1
PGM5	SH3RF2
PGM5	TAL1
PGM5	TNFRSF19L
PPAP2C	RGS10
PPAP2C	TIGD3
PTGFR	SLC9A8
RGS10	TIGD3
RPGR	ZAN
SEC31L1	TRIM35
SH3RF2	TRIM35
SLC26A9	TOR1AIP2
SNAP29	TLE1
TMEM16G	ZNF586
TOR1AIP2	TSEN54
TRIM35	ZNF586
TRIM48	TRIM51
